year,region,education_level,program_name,study_format,duration_months,base_price,competitor_price,demand_index,salary_index,advertising_spend,discount_percent,student_count,final_price,direction_code,source_title,source_url,source_row,source_note
2024,Москва,магистратура,"27.04.08 Управление интеллектуальной собственностью, профиль Управление интеллектуальной собственностью, 2 курс",очная,24,228100.0,197000.0,20.0,154.8,0.0,0.0,124,228100.0,27.04.08,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,23,за год
2017,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 1 курс",заочная,48,75400.0,75400.0,99.87,100.0,0.0,0.0,1321,70000.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20171019-structure-20171019.csv,2,за год
2017,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 1 курс",очная,48,133250.0,133250.0,99.87,100.0,0.0,0.0,1321,125000.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20171019-structure-20171019.csv,2,за год
2017,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 2 курс",заочная,48,75400.0,75400.0,99.87,100.0,0.0,0.0,1321,72800.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20171019-structure-20171019.csv,3,за год
2022,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 2 курс",заочная,48,72800.0,81180.0,99.87,134.85,0.0,0.0,1321,81300.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,4,за год
2023,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 2 курс",заочная,48,81300.0,81180.0,99.87,142.76,0.0,0.0,1321,81300.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,4,за год
2024,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 2 курс",заочная,48,81300.0,81180.0,99.87,154.8,0.0,0.0,1321,81300.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,4,за год
2017,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 2 курс",очная,48,133250.0,133250.0,99.87,100.0,0.0,0.0,1321,119600.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20171019-structure-20171019.csv,3,за год
2022,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 2 курс",очная,48,119600.0,183000.0,99.87,134.85,0.0,0.0,1321,188400.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,4,за год
2023,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 2 курс",очная,48,188400.0,183000.0,99.87,142.76,0.0,0.0,1321,188400.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,4,за год
2024,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 2 курс",очная,48,188400.0,183000.0,99.87,154.8,0.0,0.0,1321,188400.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,4,за год
2017,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 3 курс",заочная,48,75400.0,75400.0,99.87,100.0,0.0,0.0,1321,76400.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20171019-structure-20171019.csv,4,за год
2022,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 3 курс",заочная,48,76400.0,81180.0,99.87,134.85,0.0,0.0,1321,84500.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,5,за год
2023,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 3 курс",заочная,48,84500.0,81180.0,99.87,142.76,0.0,0.0,1321,84500.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,5,за год
2024,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 3 курс",заочная,48,84500.0,81180.0,99.87,154.8,0.0,0.0,1321,84500.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,5,за год
2017,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 3 курс",очная,48,133250.0,133250.0,99.87,100.0,0.0,0.0,1321,136500.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20171019-structure-20171019.csv,4,за год
2022,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 3 курс",очная,48,136500.0,183000.0,99.87,134.85,0.0,0.0,1321,158500.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,5,за год
2023,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 3 курс",очная,48,158500.0,183000.0,99.87,142.76,0.0,0.0,1321,158500.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,5,за год
2024,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 3 курс",очная,48,158500.0,183000.0,99.87,154.8,0.0,0.0,1321,158500.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,5,за год
2017,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 4 курс",заочная,48,75400.0,75400.0,99.87,100.0,0.0,0.0,1321,94300.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20171019-structure-20171019.csv,5,за год
2022,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 4 курс",заочная,48,94300.0,81180.0,99.87,134.85,0.0,0.0,1321,77900.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,6,за год
2023,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 4 курс",заочная,48,77900.0,81180.0,99.87,142.76,0.0,0.0,1321,77900.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,6,за год
2024,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 4 курс",заочная,48,77900.0,81180.0,99.87,154.8,0.0,0.0,1321,77900.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,6,за год
2017,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 4 курс",очная,48,133250.0,133250.0,99.87,100.0,0.0,0.0,1321,182700.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20171019-structure-20171019.csv,5,за год
2022,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 4 курс",очная,48,182700.0,183000.0,99.87,134.85,0.0,0.0,1321,139200.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,6,за год
2023,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 4 курс",очная,48,139200.0,183000.0,99.87,142.76,0.0,0.0,1321,139200.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,6,за год
2024,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 4 курс",очная,48,139200.0,183000.0,99.87,154.8,0.0,0.0,1321,139200.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,6,за год
2017,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 5 курс",заочная,48,75400.0,75400.0,99.87,100.0,0.0,0.0,1321,75400.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20171019-structure-20171019.csv,6,за год
2022,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 5 курс",заочная,48,75400.0,81180.0,99.87,134.85,0.0,0.0,1321,81060.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,7,за год
2023,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 5 курс",заочная,48,81060.0,81180.0,99.87,142.76,0.0,0.0,1321,81060.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,7,за год
2024,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, 5 курс",заочная,48,81060.0,81180.0,99.87,154.8,0.0,0.0,1321,81060.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,7,за год
2022,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, набор 2021 года",заочная,48,81180.0,81180.0,99.87,134.85,0.0,0.0,1321,79000.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,3,за год
2022,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, набор 2021 года",заочная,48,79000.0,81180.0,99.87,134.85,0.0,0.0,1321,98900.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,2,за год
2023,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, набор 2021 года",заочная,48,98900.0,81180.0,99.87,142.76,0.0,0.0,1321,79000.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,3,за год
2023,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, набор 2021 года",заочная,48,79000.0,81180.0,99.87,142.76,0.0,0.0,1321,98900.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,2,за год
2024,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, набор 2021 года",заочная,48,98900.0,81180.0,99.87,154.8,0.0,0.0,1321,79000.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,3,за год
2024,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, набор 2021 года",заочная,48,79000.0,81180.0,99.87,154.8,0.0,0.0,1321,98900.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,2,за год
2022,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, набор 2021 года",очная,48,183000.0,183000.0,99.87,134.85,0.0,0.0,1321,183000.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,3,за год
2022,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, набор 2021 года",очная,48,183000.0,183000.0,99.87,134.85,0.0,0.0,1321,198936.2,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,2,за год
2023,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, набор 2021 года",очная,48,198936.2,183000.0,99.87,142.76,0.0,0.0,1321,183000.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,3,за год
2023,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, набор 2021 года",очная,48,183000.0,183000.0,99.87,142.76,0.0,0.0,1321,198936.2,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,2,за год
2024,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, набор 2021 года",очная,48,198936.2,183000.0,99.87,154.8,0.0,0.0,1321,183000.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,3,за год
2024,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, набор 2021 года",очная,48,183000.0,183000.0,99.87,154.8,0.0,0.0,1321,198936.2,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,2,за год
2022,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, набор 2021 года",очно-заочная,48,93400.0,93400.0,99.87,134.85,0.0,0.0,1321,105900.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,2,за год
2023,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, набор 2021 года",очно-заочная,48,105900.0,93400.0,99.87,142.76,0.0,0.0,1321,105900.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,2,за год
2024,Москва,бакалавриат,"38.03.02 Менеджмент, профиль Управление интеллектуальной собственностью, набор 2021 года",очно-заочная,48,105900.0,93400.0,99.87,154.8,0.0,0.0,1321,105900.0,38.03.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,2,за год
2022,Москва,магистратура,"38.04.02 Менеджмент, набор 2021 года (все профили)",заочная,24,93000.0,93000.0,43.62,134.85,0.0,0.0,478,115300.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,14,за год
2023,Москва,магистратура,"38.04.02 Менеджмент, набор 2021 года (все профили)",заочная,24,115300.0,93000.0,43.62,142.76,0.0,0.0,478,115300.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,14,за год
2024,Москва,магистратура,"38.04.02 Менеджмент, набор 2021 года (все профили)",заочная,24,115300.0,93000.0,43.62,154.8,0.0,0.0,478,115300.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,14,за год
2022,Москва,магистратура,"38.04.02 Менеджмент, набор 2021 года (все профили)",очная,24,197000.0,197000.0,43.62,134.85,0.0,0.0,478,21800.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,14,за год
2023,Москва,магистратура,"38.04.02 Менеджмент, набор 2021 года (все профили)",очная,24,21800.0,197000.0,43.62,142.76,0.0,0.0,478,21800.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,14,за год
2024,Москва,магистратура,"38.04.02 Менеджмент, набор 2021 года (все профили)",очная,24,21800.0,197000.0,43.62,154.8,0.0,0.0,478,21800.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,14,за год
2022,Москва,магистратура,"38.04.02 Менеджмент, набор 2021 года (все профили)",очно-заочная,24,125900.0,125900.0,43.62,134.85,0.0,0.0,478,125900.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,14,за год
2023,Москва,магистратура,"38.04.02 Менеджмент, набор 2021 года (все профили)",очно-заочная,24,125900.0,125900.0,43.62,142.76,0.0,0.0,478,125900.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,14,за год
2024,Москва,магистратура,"38.04.02 Менеджмент, набор 2021 года (все профили)",очно-заочная,24,125900.0,125900.0,43.62,154.8,0.0,0.0,478,125900.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,14,за год
2022,Москва,магистратура,"38.04.02 Менеджмент, профиль Бренд-менеджмент, 1 курс",заочная,24,93000.0,93000.0,43.62,134.85,0.0,0.0,478,93000.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,19,за год
2023,Москва,магистратура,"38.04.02 Менеджмент, профиль Бренд-менеджмент, 1 курс",заочная,24,93000.0,93000.0,43.62,142.76,0.0,0.0,478,93000.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,19,за год
2024,Москва,магистратура,"38.04.02 Менеджмент, профиль Бренд-менеджмент, 1 курс",заочная,24,93000.0,93000.0,43.62,154.8,0.0,0.0,478,93000.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,19,за год
2022,Москва,магистратура,"38.04.02 Менеджмент, профиль Бренд-менеджмент, 1 курс",очная,24,197000.0,197000.0,43.62,134.85,0.0,0.0,478,197000.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,19,за год
2023,Москва,магистратура,"38.04.02 Менеджмент, профиль Бренд-менеджмент, 1 курс",очная,24,197000.0,197000.0,43.62,142.76,0.0,0.0,478,197000.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,19,за год
2024,Москва,магистратура,"38.04.02 Менеджмент, профиль Бренд-менеджмент, 1 курс",очная,24,197000.0,197000.0,43.62,154.8,0.0,0.0,478,197000.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,19,за год
2022,Москва,магистратура,"38.04.02 Менеджмент, профиль Менеджмент интеллектуальной собственности, 1 курс",заочная,24,93000.0,93000.0,43.62,134.85,0.0,0.0,478,93000.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,15,за год
2023,Москва,магистратура,"38.04.02 Менеджмент, профиль Менеджмент интеллектуальной собственности, 1 курс",заочная,24,93000.0,93000.0,43.62,142.76,0.0,0.0,478,93000.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,15,за год
2024,Москва,магистратура,"38.04.02 Менеджмент, профиль Менеджмент интеллектуальной собственности, 1 курс",заочная,24,93000.0,93000.0,43.62,154.8,0.0,0.0,478,93000.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,15,за год
2022,Москва,магистратура,"38.04.02 Менеджмент, профиль Менеджмент интеллектуальной собственности, 1 курс",очная,24,197000.0,197000.0,43.62,134.85,0.0,0.0,478,197000.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,15,за год
2023,Москва,магистратура,"38.04.02 Менеджмент, профиль Менеджмент интеллектуальной собственности, 1 курс",очная,24,197000.0,197000.0,43.62,142.76,0.0,0.0,478,197000.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,15,за год
2024,Москва,магистратура,"38.04.02 Менеджмент, профиль Менеджмент интеллектуальной собственности, 1 курс",очная,24,197000.0,197000.0,43.62,154.8,0.0,0.0,478,197000.0,38.04.02,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,15,за год
